path,predict
0,{}
1,{}
2,{}
3,{}
4,"{'pottedplant': [[635, 97, 722, 249]]}"
5,"{'dog': [[301, 602, 510, 724], [322, 706, 509, 855]]}"
6,"{'pottedplant': [[7, 314, 734, 942]]}"
7,{}
8,{}
9,{}
10,"{'pottedplant': [[539, 830, 741, 988]]}"
11,{}
12,{}
13,{}
14,"{'pottedplant': [[224, 212, 637, 499]]}"
15,"{'pottedplant': [[486, 99, 727, 431]]}"
16,{}
17,{}
18,{}
19,{}
20,"{'pottedplant': [[325, 344, 556, 494]]}"
21,"{'chair': [[304, 722, 556, 1031], [363, 530, 630, 703]]}"
22,"{'sofa': [[293, 241, 555, 568], [355, 1101, 724, 1271]], 'pottedplant': [[197, 1064, 299, 1165]], 'chair': [[369, 74, 709, 254]]}"
23,"{'tvmonitor': [[263, 933, 418, 1191]], 'sofa': [[384, 15, 694, 362], [460, 939, 762, 1247]], 'pottedplant': [[307, 884, 405, 975]], 'chair': [[530, 2, 724, 54]]}"
24,"{'book': [[364, 166, 556, 1108]]}"
25,"{'cup': [[281, 558, 421, 645]]}"
26,"{'pottedplant': [[34, 1096, 168, 1280]], 'vase': [[549, 685, 730, 848]]}"
27,"{'chair': [[463, 978, 761, 1270]], 'laptop': [[399, 278, 629, 454]]}"
28,"{'chair': [[384, 394, 606, 543], [502, 1145, 745, 1276]], 'diningtable': [[441, 501, 655, 746]], 'book': [[366, 1102, 392, 1204], [382, 1097, 402, 1209], [397, 1095, 414, 1208], [409, 1091, 432, 1210], [421, 1090, 449, 1211]]}"
29,"{'chair': [[296, 97, 662, 343], [275, 566, 371, 652], [258, 475, 316, 523]], 'wine glass': [[115, 954, 191, 988]], 'bowl': [[296, 324, 334, 430], [453, 915, 493, 1025]]}"
30,"{'diningtable': [[480, 133, 718, 683]], 'chair': [[604, 390, 734, 672], [468, 582, 564, 655], [478, 98, 723, 345], [446, 476, 509, 533], [447, 523, 527, 586]], 'wine glass': [[94, 955, 167, 1000], [92, 970, 168, 1017]], 'bowl': [[488, 330, 531, 439], [647, 937, 691, 1038]]}"
31,"{'wine glass': [[393, 951, 465, 995], [396, 974, 462, 1019]]}"
32,"{'diningtable': [[504, -20, 730, 921]], 'chair': [[464, 263, 567, 388]], 'vase': [[519, 78, 626, 177]], 'bowl': [[553, 201, 637, 366]]}"
33,"{'pottedplant': [[299, 7, 732, 295], [108, 437, 331, 602]], 'cup': [[397, 259, 481, 306], [419, 307, 481, 352], [418, 346, 481, 405]], 'bowl': [[589, 394, 627, 456], [602, 329, 638, 402]]}"
34,"{'pottedplant': [[543, 956, 755, 1261]], 'diningtable': [[612, 757, 754, 1278]], 'chair': [[555, 883, 672, 961], [584, 760, 732, 862], [620, 596, 739, 758]], 'cup': [[446, 35, 504, 125]], 'vase': [[670, 1067, 733, 1176]]}"
35,{}
36,"{'bottle': [[45, 952, 754, 1266], [9, 402, 462, 555], [86, 870, 647, 1024]], 'cup': [[367, 517, 524, 693], [389, 685, 674, 867]]}"
37,{}
38,"{'bowl': [[290, 70, 452, 478], [333, 646, 501, 843], [358, 831, 555, 1093]], 'cup': [[405, 367, 543, 632]], 'spoon': [[315, 509, 418, 705]]}"
39,"{'sofa': [[373, 95, 508, 367]], 'diningtable': [[625, 403, 753, 1244]], 'pottedplant': [[318, 315, 456, 425]], 'chair': [[591, 441, 699, 700], [574, 1091, 736, 1282]]}"
40,"{'diningtable': [[661, 91, 744, 1182]], 'vase': [[632, 380, 730, 565]]}"
41,"{'pottedplant': [[216, 567, 353, 650]], 'oven': [[350, 924, 655, 1025]]}"
42,"{'refrigerator': [[62, 1047, 741, 1286]], 'oven': [[290, 831, 725, 1109]], 'pottedplant': [[109, 302, 303, 437], [187, 316, 296, 426]], 'bowl': [[135, 978, 177, 1100]], 'bottle': [[225, 408, 305, 440], [231, 564, 312, 601]]}"
43,"{'oven': [[540, 900, 751, 1283]], 'sink': [[598, 321, 705, 732]], 'bowl': [[388, 1081, 443, 1270]], 'pottedplant': [[349, 246, 580, 420]], 'bottle': [[492, 581, 605, 629]], 'cup': [[520, 312, 601, 369], [548, 708, 596, 748]]}"
44,"{'pottedplant': [[201, 307, 582, 604]], 'sink': [[638, 762, 762, 1259]], 'bottle': [[397, 1121, 658, 1227]]}"
45,"{'sink': [[632, 111, 737, 593], [639, 1, 717, 181]], 'bottle': [[402, 717, 667, 821], [437, 6, 636, 82], [448, 393, 638, 472]], 'bowl': [[216, 1163, 274, 1284]]}"
46,"{'bottle': [[206, 263, 489, 444]]}"
47,"{'pottedplant': [[259, 379, 407, 522]]}"
48,"{'oven': [[583, 639, 743, 1069]], 'pottedplant': [[13, 499, 131, 628], [559, 61, 696, 174]], 'bowl': [[460, 798, 507, 933]], 'bottle': [[588, 355, 686, 398], [593, 161, 703, 201]]}"
49,"{'refrigerator': [[71, 996, 730, 1278]], 'oven': [[261, 701, 743, 1033]], 'pottedplant': [[93, 148, 289, 286]], 'sink': [[299, 154, 343, 582]], 'bottle': [[218, 260, 305, 295], [224, 429, 308, 467]]}"
50,"{'pottedplant': [[168, 753, 348, 903]]}"
51,{}
52,"{'chair': [[437, 668, 582, 944], [466, 1002, 615, 1285]], 'diningtable': [[540, 83, 747, 1217]], 'vase': [[399, 262, 639, 507]]}"
53,"{'cat': [[313, 637, 673, 1060]]}"
54,"{'vase': [[372, 825, 518, 883]], 'pottedplant': [[468, 1130, 562, 1218]]}"
55,"{'vase': [[416, 679, 617, 753]]}"
56,"{'sofa': [[490, 389, 732, 1083]], 'pottedplant': [[372, 984, 646, 1195]]}"
57,"{'sofa': [[471, 0, 718, 501]], 'pottedplant': [[360, 368, 624, 561]]}"
58,{}
59,"{'sofa': [[413, 6, 729, 339]], 'pottedplant': [[279, 203, 544, 434]]}"
60,{}
61,{}
62,{}
63,"{'dog': [[15, 442, 294, 660]]}"
64,"{'dog': [[125, 580, 350, 912], [109, 285, 563, 623]]}"
65,"{'dog': [[399, 385, 740, 904]]}"
66,{}
67,{}
68,"{'chair': [[289, 758, 486, 922]]}"
69,{}
70,"{'pottedplant': [[66, 465, 370, 667]]}"
71,"{'chair': [[428, 629, 676, 870], [442, 115, 697, 295]]}"
72,"{'bed': [[255, 427, 753, 1271]]}"
73,"{'bed': [[29, 221, 652, 1041]]}"
74,"{'bed': [[240, 224, 762, 1032]]}"
75,"{'bed': [[239, -23, 724, 1154]]}"
76,{}
77,"{'pottedplant': [[159, 493, 348, 612]], 'clock': [[254, 804, 345, 884]]}"
78,"{'pottedplant': [[154, 141, 364, 268]], 'clock': [[257, 479, 345, 563]]}"
79,{}
80,{}
81,"{'chair': [[473, 700, 735, 985], [492, 363, 647, 508]]}"
82,"{'dog': [[253, 346, 561, 574]]}"
83,"{'refrigerator': [[23, 209, 471, 513]]}"
84,"{'handbag': [[501, 1116, 734, 1273]]}"
85,"{'bottle': [[307, 957, 480, 1034], [363, 821, 539, 901]]}"
86,"{'vase': [[172, 1031, 295, 1147]], 'bottle': [[235, 846, 501, 973], [303, 636, 634, 767]], 'bowl': [[405, 182, 508, 347], [463, 261, 582, 442]]}"
87,"{'vase': [[24, 156, 365, 605]], 'bowl': [[348, 646, 577, 1223]]}"
88,{}
89,{}
90,"{'pottedplant': [[432, 209, 724, 423]]}"
91,"{'toilet': [[376, 2, 723, 510]], 'pottedplant': [[10, 174, 299, 363]]}"
92,"{'teddy bear': [[-14, 2, 287, 243]], 'pottedplant': [[491, 322, 734, 532]]}"
93,"{'refrigerator': [[68, 105, 701, 1222]]}"
94,"{'pottedplant': [[491, 1013, 750, 1282]]}"
95,"{'pottedplant': [[406, 432, 698, 626]]}"
96,"{'chair': [[356, 275, 568, 445]]}"
97,"{'chair': [[421, 408, 719, 598]]}"
98,{}
99,"{'book': [[567, 650, 599, 805], [579, 438, 609, 615], [591, 429, 623, 623]]}"
100,"{'book': [[295, 455, 319, 603], [305, 447, 330, 613], [317, 444, 344, 615], [330, 428, 354, 627]]}"
101,"{'pottedplant': [[277, 101, 483, 309]]}"
102,{}
103,"{'vase': [[472, 147, 558, 224]], 'pottedplant': [[488, 881, 571, 978]]}"
104,{}
105,"{'person': [[82, 290, 585, 599], [105, 537, 543, 951]], 'cup': [[480, 582, 564, 688]]}"
106,"{'chair': [[631, 241, 737, 621]], 'keyboard': [[644, 506, 689, 618]], 'mouse': [[655, 657, 697, 708]]}"
107,"{'cup': [[264, 5, 478, 168]]}"
108,"{'bird': [[277, 224, 529, 436]], 'cup': [[396, 504, 607, 646]]}"
109,{}
110,{}
111,{}
112,"{'vase': [[373, 774, 514, 974]]}"
113,"{'chair': [[457, 511, 748, 1029]]}"
114,"{'chair': [[520, 277, 743, 592]], 'pottedplant': [[452, 903, 715, 1144]]}"
115,"{'chair': [[384, 794, 753, 1083]], 'tvmonitor': [[234, 830, 370, 1018]], 'bowl': [[369, 135, 459, 307]]}"
116,"{'bed': [[154, 64, 731, 481]]}"
117,"{'bed': [[238, -16, 750, 943]]}"
118,"{'bed': [[47, -27, 583, 940]]}"
119,"{'bed': [[320, 13, 737, 917]]}"
120,"{'bed': [[496, 260, 754, 1004]]}"
121,"{'bed': [[158, 56, 806, 1106]]}"
122,"{'bed': [[130, 351, 758, 1306]], 'pottedplant': [[301, 356, 450, 457]]}"
123,"{'pottedplant': [[546, 386, 724, 535]]}"
124,{}
125,{}
126,{}
127,"{'tvmonitor': [[13, 189, 148, 431]], 'sofa': [[234, 296, 725, 810]], 'vase': [[13, 474, 108, 541]], 'pottedplant': [[72, 177, 164, 263]]}"
128,"{'pottedplant': [[444, 704, 661, 936], [602, 1076, 746, 1251]]}"
129,{}
130,"{'sofa': [[233, 537, 473, 1265]], 'chair': [[211, 141, 496, 499], [337, 0, 717, 447]]}"
131,"{'sofa': [[134, 2, 378, 758]], 'chair': [[271, 256, 738, 1235]]}"
132,"{'diningtable': [[363, 27, 725, 1199]], 'chair': [[268, 96, 381, 315], [295, 791, 446, 1011]], 'vase': [[282, 476, 431, 579]], 'cup': [[283, 618, 446, 712]]}"
133,"{'chair': [[418, 841, 604, 1144], [338, 2, 538, 212]], 'diningtable': [[448, 8, 754, 1303]], 'vase': [[393, 459, 592, 617]], 'fork': [[604, 577, 712, 665]]}"
134,"{'chair': [[218, 820, 586, 1293], [183, 800, 380, 993]], 'vase': [[370, 240, 736, 626]], 'diningtable': [[568, -26, 736, 1267]]}"
135,"{'chair': [[251, 81, 471, 387], [417, 247, 697, 579], [339, 711, 762, 1238]], 'sofa': [[275, 399, 455, 953]], 'pottedplant': [[457, 555, 710, 799]]}"
136,"{'sofa': [[73, -8, 415, 709]], 'bowl': [[485, 38, 740, 621]], 'broccoli': [[558, 103, 726, 570], [231, 750, 342, 869]]}"
137,"{'dog': [[241, 785, 519, 1152]]}"
138,"{'dog': [[269, 765, 524, 1091]]}"
139,"{'sofa': [[82, 56, 697, 586]], 'pottedplant': [[50, 1123, 137, 1275]], 'chair': [[104, 642, 354, 902], [406, 550, 713, 764]], 'cup': [[338, 0, 694, 131]]}"
140,"{'chair': [[141, 642, 505, 1003]], 'sofa': [[155, 38, 712, 581]], 'pottedplant': [[100, 1212, 185, 1280]]}"
141,"{'chair': [[291, 669, 729, 1271]]}"
142,"{'sofa': [[530, 306, 746, 968]], 'chair': [[459, 2, 695, 248]]}"
143,"{'sofa': [[349, 643, 667, 1248]], 'chair': [[355, 10, 721, 629], [280, 335, 544, 575]], 'pottedplant': [[382, 541, 510, 624]]}"
